player_id,season,game_type,fgm,fga,pts,reb,ast,minutes,games_played,ppm
231.0,2022,regular,101,245,270,88,64,642.7766667,48,0.42005258433877746
232.0,2022,regular,186,452,474,167,261,1389.843333,54,0.3410456335224943
233.0,2022,regular,86,156,233,132,34,610.0566667,47,0.3819317330968198
235.0,2022,regular,197,313,532,416,38,1217.675,65,0.4368981871188946
236.0,2022,playoffs,24,39,60,24,5,161.03,18,0.3726013786251009
236.0,2022,regular,93,216,236,188,43,969.4,54,0.24344955642665567
237.0,2022,regular,61,108,165,88,23,480.2566667,32,0.3435662874474367
238.0,2022,playoffs,61,111,134,97,10,319.4416667,10,0.41948190849456274
238.0,2022,regular,522,887,1203,667,115,2035.336667,67,0.5910570076709575
240.0,2022,regular,7,27,20,17,9,107.4233333,23,0.18617929071467382
241.0,2022,regular,40,88,114,33,23,234.7666667,25,0.48558852754712645
242.0,2022,regular,15,32,37,4,8,76.52833333,6,0.48348106367939897
243.0,2022,regular,67,120,157,123,15,549.6266667,46,0.2856484401359924
244.0,2022,playoffs,76,189,215,83,33,646.965,23,0.332320913805229
244.0,2022,regular,324,790,923,258,171,2271.978333,80,0.40625387425294607
245.0,2022,regular,314,677,833,327,100,2322.841667,82,0.3586124753289093
246.0,2022,playoffs,28,55,74,23,11,151.815,4,0.48743536541184995
246.0,2022,regular,223,474,650,185,78,1199.815,42,0.5417501864870834
249.0,2022,regular,247,571,698,279,189,1792.036667,77,0.3895009587992989
250.0,2022,regular,25,60,52,37,38,276.975,23,0.18774257604476938
251.0,2022,regular,69,193,191,72,41,515.4666667,34,0.3705380237732451
252.0,2022,playoffs,5,9,12,2,2,19.46666667,1,0.6164383560588291
252.0,2022,regular,487,1109,1347,360,280,2335.391667,67,0.5767769145679665
253.0,2022,regular,281,570,687,220,206,2097.616667,80,0.32751456012339175
254.0,2022,playoffs,1,4,3,1,0,20.98166667,6,0.14298196836238272
254.0,2022,regular,84,227,251,139,53,915.1266667,60,0.2742789704786121
255.0,2022,regular,40,108,122,26,16,310.1816667,34,0.393317894309967
257.0,2022,regular,235,501,649,269,162,1950.53,66,0.33273007849148695
258.0,2022,regular,5,10,17,5,5,48.22666667,4,0.35250207351724483
259.0,2022,regular,95,238,262,152,36,968.775,69,0.2704446336868726
260.0,2022,playoffs,2,7,4,5,1,15.68,8,0.25510204081632654
260.0,2022,regular,16,27,40,23,2,83.23166667,9,0.4805863152854248
261.0,2022,regular,2,7,6,2,0,19.59666667,7,0.306174519424022
263.0,2022,playoffs,10,29,30,17,4,104.1866667,15,0.28794471452266934
263.0,2022,regular,180,396,512,204,71,1289.898333,80,0.3969305075456671
265.0,2022,regular,387,800,1148,281,112,2448.005,79,0.46895329053657975
266.0,2022,playoffs,1,2,2,1,1,11.75,4,0.1702127659574468
266.0,2022,regular,52,131,108,54,100,397.9083333,43,0.27141929676193594
269.0,2022,regular,2,4,5,3,0,9.15,5,0.5464480874316939
271.0,2022,playoffs,25,60,75,24,5,196.5333333,7,0.381614654067438
271.0,2022,regular,374,791,1230,366,128,2662.038333,82,0.4620519489716905
272.0,2022,playoffs,3,6,8,2,0,6.126666667,3,1.3057671381226459
272.0,2022,regular,10,33,22,14,10,79.34666667,16,0.2772643253118272
273.0,2022,regular,201,489,550,141,186,1309.981667,61,0.41985320394563963
274.0,2022,regular,444,878,1160,196,271,1672.933333,50,0.6933928430488151
275.0,2022,regular,239,523,654,138,91,1314.201667,64,0.4976405192765594
276.0,2022,regular,157,263,361,485,97,1133.291667,42,0.3185411227417064
278.0,2022,playoffs,45,119,137,111,24,358.8266667,20,0.38179994051150046
278.0,2022,regular,165,424,509,399,116,1239.478333,62,0.41065663388244156
281.0,2022,playoffs,0,1,0,6,3,17.01666667,3,0.0
281.0,2022,regular,61,178,171,70,115,565.9933333,33,0.3021236999435873
283.0,2022,regular,239,554,654,175,174,1529.601667,65,0.4275622955371688
284.0,2022,playoffs,15,30,34,16,18,103.52,4,0.32843894899536324
284.0,2022,regular,252,495,647,368,335,1956.573333,69,0.3306801687867019
285.0,2022,playoffs,107,224,319,96,61,465.67,11,0.6850344664676702
285.0,2022,regular,483,862,1366,313,235,1671.756667,47,0.8171045625026958
290.0,2022,playoffs,74,162,212,65,31,670.6683333,20,0.3161025941941547
290.0,2022,regular,292,632,822,208,183,2381.206667,76,0.3452031322571465
291.0,2022,playoffs,46,103,115,36,34,190.4,5,0.6039915966386554
291.0,2022,regular,612,1319,1515,389,448,2693.395,74,0.5624871212725946
292.0,2022,playoffs,11,36,27,18,22,120.2716667,6,0.22449177550143654
292.0,2022,regular,311,710,822,200,417,1939.423333,80,0.4238373262883705
293.0,2022,playoffs,0,2,4,0,1,7.266666667,2,0.5504587155710798
293.0,2022,regular,141,335,365,81,151,870.015,58,0.4195329965575306
294.0,2022,playoffs,9,25,30,15,5,93.155,5,0.3220439053190918
294.0,2022,regular,239,530,669,176,115,1548.313333,77,0.4320830840510497
295.0,2022,regular,77,204,205,55,41,706.1133333,46,0.290321666979348
297.0,2022,playoffs,6,19,16,7,3,80.61833333,6,0.19846602303853408
297.0,2022,regular,132,270,314,121,40,686.7083333,42,0.45725380743679406
298.0,2022,playoffs,0,1,1,0,1,6.9,2,0.14492753623188406
298.0,2022,regular,57,110,157,46,79,505.2316667,48,0.31074853448017253
299.0,2022,regular,389,618,897,653,197,1906.125,72,0.47058823529411764
300.0,2022,playoffs,24,77,63,18,11,167.195,6,0.3768055264810551
300.0,2022,regular,392,991,1047,244,189,2214.263333,73,0.4728434890268763
301.0,2022,playoffs,0,1,0,2,0,5.883333333,1,0.0
301.0,2022,regular,63,130,170,155,61,568.885,41,0.2988301677843501
302.0,2022,playoffs,27,63,75,23,13,169.6233333,5,0.4421561499876503
302.0,2022,regular,320,742,897,282,287,2237.34,74,0.4009225240687602
303.0,2022,playoffs,7,9,19,20,1,54.30833333,7,0.3498542274267211
303.0,2022,regular,16,30,43,60,12,161.2466667,26,0.2666721792147286
305.0,2022,regular,283,521,650,234,397,1526.413333,75,0.42583485478503746
306.0,2022,regular,507,1018,1505,546,174,2119.511667,65,0.7100692218081571
307.0,2022,regular,284,548,731,402,180,1440.596667,63,0.5074286347769261
308.0,2022,playoffs,35,83,108,47,9,220.35,6,0.49012933968686184
308.0,2022,regular,416,822,1173,426,60,1787.503333,63,0.6562225526211088
309.0,2022,regular,22,49,51,30,15,162.3583333,18,0.314120002117563
310.0,2022,regular,571,1144,1691,570,123,2272.486667,66,0.7441187772654158
311.0,2022,regular,55,89,130,80,9,347.575,42,0.37401999568438465
313.0,2022,regular,402,733,1113,466,89,1825.21,62,0.609792845754735
314.0,2022,regular,512,1142,1357,463,239,2238.851667,64,0.6061142951101994
315.0,2022,regular,236,465,647,247,103,1452.588333,67,0.4454118109731507
316.0,2022,playoffs,31,81,87,36,18,274.1633333,11,0.31732908610649724
316.0,2022,regular,277,651,780,312,197,2149.826667,77,0.36281994821864405
317.0,2022,playoffs,0,2,0,0,0,5.3,1,0.0
317.0,2022,regular,86,209,246,44,56,566.6483333,40,0.43413169252147166
318.0,2022,playoffs,22,36,47,37,12,190.515,5,0.24669973492900824
318.0,2022,regular,403,626,969,666,113,2220.111667,68,0.436464532123915
319.0,2022,playoffs,17,40,46,40,5,117.5533333,7,0.39131174513449546
319.0,2022,regular,187,408,562,300,66,1247.235,74,0.45059671994451733
322.0,2022,playoffs,0,0,0,0,0,0.4966666667,1,0.0
322.0,2022,regular,230,369,579,339,31,1081.486667,59,0.5353741453014141
323.0,2022,playoffs,29,60,80,12,11,178.9583333,13,0.4470314319808208
323.0,2022,regular,236,527,654,109,64,1297.036667,56,0.5042263003348076
324.0,2022,playoffs,45,106,123,34,35,187.07,5,0.6575078847490244
324.0,2022,regular,566,1214,1596,357,493,1948.348333,61,0.8191553702014537
325.0,2022,regular,594,1203,1623,304,331,2240.573333,60,0.7243681677791352
326.0,2022,regular,237,468,685,105,138,1145.153333,48,0.598173170579245
327.0,2022,playoffs,49,99,115,77,33,242.9383333,7,0.47337115735452356
327.0,2022,regular,577,938,1510,973,573,2735.555,79,0.5519903639298058
329.0,2022,regular,475,1038,1344,400,225,2481.875,80,0.5415260639637371
330.0,2022,playoffs,73,131,195,58,10,388.0333333,16,0.502534146594153
330.0,2022,regular,284,584,707,283,58,1466.03,63,0.4822547969686841
331.0,2022,playoffs,17,27,43,28,3,113.1366667,7,0.38007130008542134
