player_id,team_id,league_id,full_name,position_simple,status,jersey_number
1008,11.0,NBA,Damian Lillard,G,active,0
1024,16.0,NBA,Jusuf Nurkic,B,active,20
1032,17.0,NBA,Joe Ingles,W,active,7
1040,,,Justise Winslow,W,active,11
1048,26.0,NBA,Kris Dunn,G,active,11
1056,15.0,NBA,Josh Hart,W,active,3
1064,18.0,NBA,Anfernee Simons,G,active,1
1072,16.0,NBA,Drew Eubanks,B,active,14
1096,16.0,NBA,Nassir Little,W,active,25
1136,2.0,NBA,Greg Brown III,W,active,36
1144,13.0,NBA,Keon Johnson,G,active,45
1152,13.0,NBA,Trendon Watford,W,active,9
1160,11.0,NBA,Brook Lopez,B,active,11
1168,,,Serge Ibaka,B,active,14
1176,,,George Hill,G,inactive,7
1184,3.0,NBA,Jrue Holiday,G,active,4
1192,1.0,NBA,Wesley Matthews,W,active,32
1200,11.0,NBA,Khris Middleton,W,active,22
1208,11.0,NBA,Giannis Antetokounmpo,B,active,34
1216,11.0,NBA,Thanasis Antetokounmpo,W,active,43
1224,11.0,NBA,Bobby Portis,B,active,9
1232,11.0,NBA,Pat Connaughton,W,active,24
1248,16.0,NBA,Grayson Allen,W,active,8
1256,7.0,NBA,Jevon Carter,G,active,5
1264,11.0,NBA,Lindell Wigginton,G,active,28
1272,19.0,NBA,Jordan Nwora,W,active,13
1288,22.0,NBA,Sandro Mamukelashvili,B,active,54
1309,,,Kobi Simmons,G,active,2
1314,,,Tyler Dorsey,W,active,
1320,,,Edmond Sumner,G,active,
1332,,,Deonte Burton,W,active,4
1369,,,Michael Carter-Williams,G,active,11
1381,,,Noah Vonleh,B,inactive,
1450,,,Meyers Leonard,B,inactive,3
1622,,,Matt Dellavedova,G,active,8
1768,26.0,NBA,Luka Samanic,B,active,19
1771,2.0,NBA,Jaden Hardy,W,active,1
1791,0.0,NBA,Dyson Daniels,G,active,11
1845,11.0,NBA,MarJon Beauchamp,W,active,3
1869,9.0,NBA,Dru Smith,G,active,9
1876,,,Mfiondu Kabengele,B,active,25
1946,2.0,NBA,A.J. Lawson,W,active,9
2010,,,Jarrell Brantley,W,active,5
2051,9.0,NBA,Jamal Cain,W,active,8
2052,22.0,NBA,Julian Champagnie,W,active,30
2053,,,Kennedy Chandler,G,active,5
2055,,,Jordan Hall,G,active,55
2057,17.0,NBA,Kevon Harris,W,active,8
2059,17.0,NBA,Caleb Houstan,W,active,2
2060,,,Trevor Hudgins,G,active,
2061,18.0,NBA,Jabari Walker,W,active,34
2063,4.0,NBA,Peyton Watson,W,active,8
2064,22.0,NBA,Blake Wesley,G,active,14
2068,,,Alondes Williams,G,active,31
2069,24.0,NBA,Jalen Williams,W,active,8
2070,24.0,NBA,Jaylin Williams,B,active,6
2072,29.0,NBA,Mark Williams,B,active,5
2076,,,Darius Days,B,active,4
2077,10.0,NBA,Moussa Diabate,B,active,25
2078,24.0,NBA,Ousmane Dieng,W,active,13
2079,27.0,NBA,Jalen Duren,B,active,0
2083,11.0,NBA,AJ Green,G,active,20
2086,,,Chima Moneke,W,active,
2087,5.0,NBA,Isaiah Mobley,B,active,15
2089,14.0,NBA,Wendell Moore Jr.,W,active,7
2090,,,Tyrese Martin,W,active,22
2094,29.0,NBA,Bryce McGowens,W,active,7
2095,20.0,NBA,Keegan Murray,W,active,13
2097,25.0,NBA,Patrick Baldwin,B,active,7
2098,,NBA,Jamaree Bouyea,G,inactive,
2101,,,Buddy Boeheim,W,active,35
2102,17.0,NBA,Paolo Banchero,W,active,5
2103,22.0,NBA,Malaki Branham,W,active,22
2104,4.0,NBA,Christian Braun,W,active,0
2105,22.0,NBA,Dominick Barlow,B,active,26
2106,0.0,NBA,Dereon Seabron,W,active,0
2107,18.0,NBA,Shaedon Sharpe,W,active,17
2109,8.0,NBA,Jabari Smith Jr.,B,active,10
2110,22.0,NBA,Jeremy Sochan,W,active,10
2112,9.0,NBA,Cole Swider,B,active,21
2113,27.0,NBA,Jared Rhoden,W,active,8
2114,9.0,NBA,Orlando Robinson,B,active,25
2115,28.0,NBA,David Roddy,W,active,21
2116,25.0,NBA,Ryan Rollins,G,active,9
2120,28.0,NBA,Jake LaRavia,W,active,3
2122,28.0,NBA,Kenneth Lofton Jr.,B,active,6
2123,,,Quenton Jackson,G,active,29
2124,9.0,NBA,Nikola Jovic,W,active,5
2126,26.0,NBA,Ochai Agbaji,W,active,30
2128,,,Trevor Keels,G,active,13
2129,26.0,NBA,Walker Kessler,B,active,24
2130,23.0,NBA,Christian Koloko,B,active,35
2132,7.0,NBA,Dalen Terry,W,active,25
2133,26.0,NBA,Simone Fontecchio,W,active,16
2134,,,"Michael Foster, Jr.",B,active,22
2136,19.0,NBA,Andrew Nembhard,G,active,2
2137,8.0,NBA,Tari Eason,B,active,17
2138,20.0,NBA,Keon Ellis,W,active,23
2142,27.0,NBA,Jaden Ivey,W,active,23
2143,6.0,NBA,Lester Quinones,W,active,25
2144,26.0,NBA,Johnny Juzang,W,active,33
2145,,,Scotty Pippen Jr.,G,active,2
2146,19.0,NBA,Bennedict Mathurin,W,active,0
2147,25.0,NBA,Johnny Davis,W,active,1
2148,1.0,NBA,AJ Griffin,W,active,14
2149,11.0,NBA,"TyTy Washington, Jr.",G,active,23
2150,12.0,NBA,Max Christie,W,active,10
2151,3.0,NBA,JD Davison,G,active,20
2152,14.0,NBA,Josh Minott,W,active,8
2153,,NBA,Ron Harper Jr.,W,inactive,
2154,28.0,NBA,Vince Williams Jr.,W,active,5
2155,,,Jack White,B,active,12
2258,28.0,NBA,Jacob Gilyard,G,active,0
2259,,,John Butler Jr.,B,active,19
2263,19.0,NBA,Kendall Brown,W,active,10
2273,,,Raiquan Gray,B,active,0
2275,27.0,NBA,Stanley Umude,W,active,17
2303,8.0,NBA,Jeenathan Williams,W,active,19
2308,,,Donovan Williams,W,active,8
2324,,,Chance Comanche,B,active,12
2427,18.0,NBA,Justin Minaya,W,active,24
2428,,,Xavier Cooks,W,inactive,12
2429,15.0,NBA,DaQuan Jeffries,W,active,
